Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Vintage Basset Hound Art Print — Gift for Dog Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260710_050005_967e55/mock_study.png,Gift Ideas for New Parents,,"A tri-color basset hound sits beside a vintage red dial telephone, its long ears draped thoughtfully as if awaiting an important call in a hushed, mid-century room. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741568?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-21T01:00:00,"dog art, dog art print, vintage dog art, animal art, nursery wall art"
Vintage American Shorthair Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260712_050005_c52787/mock_gallery.png,Kids Room Decor,,"A silver tabby American Shorthair rests against a cream-colored 1963 Volkswagen Beetle, bathed in soft afternoon light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741652?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-14T13:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage American Shorthair Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260712_050005_c52787/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A silver tabby American Shorthair rests against a cream-colored 1963 Volkswagen Beetle, bathed in soft afternoon light. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4538741652?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-18T01:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage American Shorthair Art Print — Gift for Cat Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260712_050005_c52787/mock_study.png,Gift Ideas for New Parents,,"A silver tabby American Shorthair rests against a cream-colored 1963 Volkswagen Beetle, bathed in soft afternoon light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741652?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-21T04:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Cat Art Print | Vintage Orange Tabby Cat Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260713_050002_52a4b6/mock_nursery.png,Cat Art Prints,,"A marmalade cat drives a pale blue 1962 Triumph Spitfire through a quiet afternoon, embodying understated elegance of a bygone era. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741746?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-11T13:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Orange Tabby Cat Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260713_050002_52a4b6/mock_gallery.png,Kids Room Decor,,"A marmalade cat drives a pale blue 1962 Triumph Spitfire through a quiet afternoon, embodying understated elegance of a bygone era. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741746?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-14T22:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Orange Tabby Cat Art Print — Gift for Cat Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260713_050002_52a4b6/mock_study.png,Gift Ideas for New Parents,,"A marmalade cat drives a pale blue 1962 Triumph Spitfire through a quiet afternoon, embodying understated elegance of a bygone era. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538741746?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-21T07:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Animal Art Print | Vintage Lop Rabbit Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260716_050017_8ef62d/mock_nursery.png,Nursery Wall Art,,"A white and grey lop-eared rabbit sits poised before a crimson Dansette record player, bathed in soft, vintage light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538792417?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-11T22:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Lop Rabbit Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260716_050017_8ef62d/mock_gallery.png,Kids Room Decor,,"A white and grey lop-eared rabbit sits poised before a crimson Dansette record player, bathed in soft, vintage light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538792417?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-15T01:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Lop Rabbit Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260716_050017_8ef62d/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A white and grey lop-eared rabbit sits poised before a crimson Dansette record player, bathed in soft, vintage light. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4538792417?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-18T04:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Lop Rabbit Art Print — Gift for Animal Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260716_050017_8ef62d/mock_study.png,Gift Ideas for New Parents,,"A white and grey lop-eared rabbit sits poised before a crimson Dansette record player, bathed in soft, vintage light. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4538792417?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-21T10:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Animal Art Print | Vintage Raccoon Dog Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260723_050031_5eea12/mock_nursery.png,Nursery Wall Art,,"A dignified tanuki in grey and brown holds a vintage Sony transistor radio to its ear, its ivory and silver frame catching soft light against a composed, mid-century backdrop. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4542559694?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-12T01:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Raccoon Dog Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260723_050031_5eea12/mock_gallery.png,Kids Room Decor,,"A dignified tanuki in grey and brown holds a vintage Sony transistor radio to its ear, its ivory and silver frame catching soft light against a composed, mid-century backdrop. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4542559694?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-15T04:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Raccoon Dog Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260723_050031_5eea12/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A dignified tanuki in grey and brown holds a vintage Sony transistor radio to its ear, its ivory and silver frame catching soft light against a composed, mid-century backdrop. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4542559694?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-18T07:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Raccoon Dog Art Print — Gift for Animal Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260723_050031_5eea12/mock_study.png,Gift Ideas for New Parents,,"A dignified tanuki in grey and brown holds a vintage Sony transistor radio to its ear, its ivory and silver frame catching soft light against a composed, mid-century backdrop. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4542559694?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-21T13:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Animal Art Print | Vintage Red Fox Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260724_050032_7da8b0/mock_nursery.png,Nursery Wall Art,,"A red fox stands poised beside a butter-yellow Citroën 2CV, caught in the understated elegance of a 1950s countryside moment. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4543023042?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-12T04:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Red Fox Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260724_050032_7da8b0/mock_gallery.png,Kids Room Decor,,"A red fox stands poised beside a butter-yellow Citroën 2CV, caught in the understated elegance of a 1950s countryside moment. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4543023042?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-15T07:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Red Fox Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260724_050032_7da8b0/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A red fox stands poised beside a butter-yellow Citroën 2CV, caught in the understated elegance of a 1950s countryside moment. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4543023042?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-18T10:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Vintage Red Fox Art Print — Gift for Animal Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260724_050032_7da8b0/mock_study.png,Gift Ideas for New Parents,,"A red fox stands poised beside a butter-yellow Citroën 2CV, caught in the understated elegance of a 1950s countryside moment. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4543023042?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-21T22:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
Cat Art Print | Vintage Siamese Cat Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260728_050007_c7f94c/mock_nursery.png,Cat Art Prints,,"A Siamese cat with cream and dark brown points sits poised beside a Gibson J-45, as if contemplating the melody of a quiet American evening. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4545482233?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-12T07:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Siamese Cat Illustration | Nursery Wall Art,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260728_050007_c7f94c/mock_gallery.png,Kids Room Decor,,"A Siamese cat with cream and dark brown points sits poised beside a Gibson J-45, as if contemplating the melody of a quiet American evening. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4545482233?utm_source=pinterest&utm_medium=pin&utm_campaign=A_gallery,2026-08-15T10:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Siamese Cat Art Print for a Quiet Corner,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260728_050007_c7f94c/mock_living.png,Little Heirlooms,,"Some things are worth keeping. A favourite song, a familiar chair, a friend who never changes. A Siamese cat with cream and dark brown points sits poised beside a Gibson J-45, as if contemplating the melody of a quiet American evening. Part of the NUE Little Heirlooms collection — vintage animal art, nostalgic but never faded.",https://www.etsy.com/listing/4545482233?utm_source=pinterest&utm_medium=pin&utm_campaign=C_living,2026-08-18T13:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Vintage Siamese Cat Art Print — Gift for Cat Lovers,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260728_050007_c7f94c/mock_study.png,Gift Ideas for New Parents,,"A Siamese cat with cream and dark brown points sits poised beside a Gibson J-45, as if contemplating the melody of a quiet American evening. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4545482233?utm_source=pinterest&utm_medium=pin&utm_campaign=A_study,2026-08-22T01:00:00,"cat art, cat art print, vintage cat art, animal art, nursery wall art"
Animal Art Print | Vintage Chipmunk Illustration,https://raw.githubusercontent.com/nueshopofficial-blip/nue-images/main/images/nursery_20260729_050007_06fad0/mock_nursery.png,Nursery Wall Art,,"A chipmunk with brown and cream stripes rests beneath a vintage striped beach parasol, embodying a quiet elegance of 1950s leisure. A 1950s-style character illustration printed on premium enhanced matte paper, shipped ready to frame — nursery wall art that works just as well in a study or living room.",https://www.etsy.com/listing/4546032179?utm_source=pinterest&utm_medium=pin&utm_campaign=A_nursery,2026-08-12T10:00:00,"animal art, animal wall art, vintage animal art, nursery wall art, kids room decor"
